Day,#OpenP
2025-11-17,0.1523
2025-11-16,0.1587
2025-11-15,0.1637
2025-11-14,0.1605
2025-11-13,0.1668
2025-11-12,0.1721
2025-11-11,0.1778
2025-11-10,0.189
2025-11-09,0.1778
2025-11-08,0.1775
2025-11-07,0.1809
2025-11-06,0.1572
2025-11-05,0.1615
2025-11-04,0.1538
2025-11-03,0.16
2025-11-02,0.1781
2025-11-01,0.1791
2025-10-31,0.1768
2025-10-30,0.1745
2025-10-29,0.1836
2025-10-28,0.1841
2025-10-27,0.1854
2025-10-26,0.1908
2025-10-25,0.1853
2025-10-24,0.1856
2025-10-23,0.1812
2025-10-22,0.1782
2025-10-21,0.1808
2025-10-20,0.1865
2025-10-19,0.1836
2025-10-18,0.1799
2025-10-17,0.1772
2025-10-16,0.1848
2025-10-15,0.1966
2025-10-14,0.2054
2025-10-13,0.2131
2025-10-12,0.2028
2025-10-11,0.1819
2025-10-10,0.1808
2025-10-09,0.2205
2025-10-08,0.2242
2025-10-07,0.2189
2025-10-06,0.2293
2025-10-05,0.2185
2025-10-04,0.2198
2025-10-03,0.2249
2025-10-02,0.2252
2025-10-01,0.2209
2025-09-30,0.2083
2025-09-29,0.2078
2025-09-28,0.2079
2025-09-27,0.2059
2025-09-26,0.2084
2025-09-25,0.2029
2025-09-24,0.213
2025-09-23,0.211
2025-09-22,0.2145
2025-09-21,0.2309
2025-09-20,0.2354
2025-09-19,0.2339
2025-09-18,0.2463
2025-09-17,0.2446
2025-09-16,0.2377
2025-09-15,0.2327
2025-09-14,0.2395
2025-09-13,0.2531
2025-09-12,0.2484
2025-09-11,0.2444
2025-09-10,0.2395
2025-09-09,0.2332
2025-09-08,0.2364
2025-09-07,0.2307
2025-09-06,0.2273
2025-09-05,0.2295
2025-09-04,0.2272
2025-09-03,0.2331
2025-09-02,0.2334
2025-09-01,0.2278
2025-08-31,0.2315
2025-08-30,0.2337
2025-08-29,0.2365
2025-08-28,0.2527
2025-08-27,0.2474
2025-08-26,0.2546
2025-08-25,0.2461
2025-08-24,0.2715
2025-08-23,0.2639
2025-08-22,0.2669
2025-08-21,0.2484
2025-08-20,0.2567
2025-08-19,0.2382
2025-08-18,0.2551
2025-08-17,0.2653
2025-08-16,0.2611
2025-08-15,0.2541
2025-08-14,0.2541
2025-08-13,0.2806
2025-08-12,0.2713
2025-08-11,0.2529
2025-08-10,0.2664
2025-08-09,0.27
2025-08-08,0.2663
2025-08-07,0.2644
2025-08-06,0.2428
2025-08-05,0.2375
2025-08-04,0.2482
2025-08-03,0.244
2025-08-02,0.2275
2025-08-01,0.2358
2025-07-31,0.244
2025-07-30,0.2536
2025-07-29,0.2605
2025-07-28,0.2649
2025-07-27,0.2862
2025-07-26,0.2747
2025-07-25,0.2668
2025-07-24,0.2619
2025-07-23,0.2676
2025-07-22,0.2967
2025-07-21,0.2981
2025-07-20,0.2914
2025-07-19,0.2914
2025-07-18,0.2938
2025-07-17,0.3188
2025-07-16,0.2853
2025-07-15,0.2837
2025-07-14,0.2797
2025-07-13,0.2644
2025-07-12,0.2191
2025-07-11,0.2184
2025-07-10,0.2123
2025-07-09,0.1926
2025-07-08,0.1793
2025-07-07,0.1759
2025-07-06,0.1771
2025-07-05,0.1746
2025-07-04,0.1737
2025-07-03,0.1826
2025-07-02,0.1814
2025-07-01,0.1708
2025-06-30,0.1857
2025-06-29,0.186
2025-06-28,0.1766
2025-06-27,0.1749
2025-06-26,0.172
2025-06-25,0.1757
2025-06-24,0.1828
2025-06-23,0.1795
2025-06-22,0.1602
2025-06-21,0.1627
2025-06-20,0.1672
2025-06-19,0.1692
2025-06-18,0.1709
2025-06-17,0.1697
2025-06-16,0.1761
2025-06-15,0.1765
2025-06-14,0.1772
2025-06-13,0.1808
2025-06-12,0.1806
2025-06-11,0.1973
2025-06-10,0.2083
2025-06-09,0.1998
2025-06-08,0.1907
2025-06-07,0.1911
2025-06-06,0.1874
2025-06-05,0.1808
2025-06-04,0.1916
2025-06-03,0.1975
2025-06-02,0.1988
2025-06-01,0.1956
2025-05-31,0.1939
2025-05-31,0.1939
2025-05-30,0.1922
2025-05-29,0.2096
2025-05-28,0.2176
2025-05-27,0.2219
2025-05-26,0.219
2025-05-25,0.2219
2025-05-24,0.2207
2025-05-23,0.2238
2025-05-22,0.2414
2025-05-21,0.2308
2025-05-20,0.2246
2025-05-19,0.2223
2025-05-18,0.2277
2025-05-17,0.216
2025-05-16,0.2231
2025-05-15,0.2258
2025-05-14,0.2368
2025-05-13,0.2472
2025-05-12,0.2421
2025-05-11,0.2397
2025-05-10,0.2534
2025-05-09,0.2327
2025-05-08,0.2256
2025-05-07,0.1993
2025-05-06,0.1994
2025-05-05,0.1993
2025-05-04,0.1998
2025-05-03,0.2072
2025-05-02,0.2156
2025-05-01,0.2173
2025-04-30,0.2201
2025-04-29,0.2267
2025-04-28,0.2304
2025-04-27,0.2216
2025-04-26,0.2288
2025-04-25,0.2277
2025-04-24,0.2257
2025-04-23,0.2137
2025-04-22,0.2098
2025-04-21,0.193
2025-04-20,0.193
2025-04-19,0.193
2025-04-18,0.1894
2025-04-17,0.187
2025-04-16,0.1812
2025-04-15,0.1796
2025-04-14,0.189
2025-04-13,0.1829
2025-04-12,0.1911
2025-04-11,0.1796
2025-04-10,0.1764
2025-04-09,0.18
2025-04-08,0.1551
2025-04-07,0.1666
2025-04-06,0.1623
2025-04-05,0.183
2025-04-04,0.1859
2025-04-03,0.1808
2025-04-02,0.1766
2025-04-01,0.189
2025-03-31,0.1798
2025-03-30,0.1796
2025-03-29,0.184
2025-03-28,0.1996
2025-03-27,0.212
2025-03-26,0.2068
2025-03-25,0.2119
2025-03-24,0.2035
2025-03-23,0.1918
2025-03-22,0.1881
2025-03-21,0.1871
2025-03-20,0.195
2025-03-19,0.2
2025-03-18,0.1863
2025-03-17,0.1912
2025-03-16,0.1862
2025-03-15,0.1998
2025-03-14,0.1985
2025-03-13,0.1958
2025-03-12,0.1959
2025-03-11,0.1913
2025-03-10,0.184
2025-03-09,0.2012
2025-03-08,0.2245
2025-03-07,0.233
2025-03-06,0.2402
2025-03-05,0.2506
2025-03-04,0.2382
2025-03-03,0.2379
2025-03-02,0.2911
2025-03-01,0.2534
2025-02-28,0.2381
2025-02-27,0.2375
2025-02-26,0.236
2025-02-25,0.2319
2025-02-24,0.2271
2025-02-23,0.2597
2025-02-22,0.2663
2025-02-21,0.2638
2025-02-20,0.2712
2025-02-19,0.2613
2025-02-18,0.2571
2025-02-17,0.27
2025-02-16,0.2751
2025-02-15,0.2844
2025-02-14,0.2964
2025-02-13,0.2935
2025-02-12,0.3026
2025-02-11,0.2857
2025-02-10,0.2901
